# == pyFAI calibration ==
# Distance Sample to Detector: 0.3075 m
# PONI: 6.384e-02, 3.947e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 307.500 mm
# Center: x=526.252, y=851.258 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.5406e-10 m
# Mask applied: provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ././XXXX2_EB_307mm/integrated_100bins.dat
#       q_nm^-1              I           sigma 
  4.870471e-02    8.761726e+05   7.277124e+01
  1.461141e-01    5.964120e+01   3.575782e-01
  2.435236e-01    6.080004e-01   2.814278e-02
  3.409330e-01    2.442122e-01   1.511391e-02
  4.383424e-01    1.422215e-01   1.018558e-02
  5.357518e-01    8.747075e-02   7.232271e-03
  6.331612e-01    2.911269e-02   3.840162e-03
  7.305707e-01    4.448343e-02   4.420890e-03
  8.279801e-01    3.915827e-02   3.897026e-03
  9.253895e-01    3.694190e-02   3.580822e-03
  1.022799e+00    2.047102e-02   2.535721e-03
  1.120208e+00    3.922920e-02   3.354121e-03
  1.217618e+00    2.330321e-02   2.479572e-03
  1.315027e+00    1.982682e-02   2.200593e-03
  1.412437e+00    3.067890e-02   2.641211e-03
  1.509846e+00    4.041897e-02   2.931453e-03
  1.607255e+00    5.519240e-02   3.319564e-03
  1.704665e+00    2.320726e-02   2.089781e-03
  1.802074e+00    2.239119e-02   1.995968e-03
  1.899484e+00    2.883918e-02   2.205648e-03
  1.996893e+00    2.317368e-02   1.927865e-03
  2.094303e+00    2.749789e-02   2.050029e-03
  2.191712e+00    2.889824e-02   2.053636e-03
  2.289121e+00    2.698041e-02   1.941142e-03
  2.386531e+00    1.358898e-02   1.348580e-03
  2.483940e+00    1.545334e-02   1.409112e-03
  2.581350e+00    1.727458e-02   1.460820e-03
  2.678759e+00    7.823383e-03   9.646252e-04
  2.776169e+00    1.258983e-02   1.201525e-03
  2.873578e+00    1.827784e-02   1.422253e-03
  2.970987e+00    1.390660e-02   1.236688e-03
  3.068397e+00    7.697332e-03   9.682599e-04
  3.165806e+00    1.023501e-02   1.145185e-03
  3.263216e+00    1.209231e-02   1.265202e-03
  3.360625e+00    8.880471e-03   1.057336e-03
  3.458034e+00    1.327840e-02   1.214544e-03
  3.555444e+00    4.411560e-03   6.779627e-04
  3.652853e+00    1.080755e-02   1.035312e-03
  3.750263e+00    8.050424e-03   8.749242e-04
  3.847672e+00    6.074146e-03   7.456609e-04
  3.945082e+00    4.568411e-03   6.353776e-04
  4.042491e+00    7.587588e-03   8.055361e-04
  4.139900e+00    5.202137e-03   6.566298e-04
  4.237310e+00    7.938086e-03   7.991288e-04
  4.334719e+00    7.899495e-03   7.858156e-04
  4.432129e+00    4.873490e-03   6.087704e-04
  4.529538e+00    8.840798e-03   8.090397e-04
  4.626948e+00    5.071184e-03   6.048001e-04
  4.724357e+00    6.996563e-03   7.014598e-04
  4.821766e+00    1.074099e-02   8.585060e-04
  4.919176e+00    8.195845e-03   7.409425e-04
  5.016585e+00    4.427723e-03   5.480198e-04
  5.113995e+00    5.004912e-03   5.888933e-04
  5.211404e+00    5.699062e-03   6.367276e-04
  5.308813e+00    6.321449e-03   6.896637e-04
  5.406223e+00    9.638316e-03   8.645125e-04
  5.503632e+00    6.761110e-03   7.320577e-04
  5.601042e+00    1.265679e-02   1.010150e-03
  5.698451e+00    7.266697e-03   7.709710e-04
  5.795861e+00    6.923611e-03   7.557571e-04
  5.893270e+00    3.757762e-03   5.547686e-04
  5.990679e+00    4.968552e-03   6.345874e-04
  6.088089e+00    3.690422e-03   5.437055e-04
  6.185498e+00    2.447401e-03   4.412122e-04
  6.282908e+00    7.395728e-03   7.688579e-04
  6.380317e+00    5.095678e-03   6.396900e-04
  6.477727e+00    8.286636e-03   8.176218e-04
  6.575136e+00    3.483810e-03   5.312573e-04
