# == pyFAI calibration ==
# Distance Sample to Detector: 0.3075 m
# PONI: 6.384e-02, 3.947e-02 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 307.500 mm
# Center: x=526.252, y=851.258 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 1.5406e-10 m
# Mask applied: provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1.0
# --> ./integrated_200bins.dat
#       q_nm^-1              I           sigma 
  2.565128e-02    2.258908e+05   7.780714e+01
  7.434948e-02    3.465355e+03   5.550261e+00
  1.230477e-01    1.176888e+01   2.503707e-01
  1.717459e-01    1.105509e+00   6.483217e-02
  2.204441e-01    1.078506e-01   1.785310e-02
  2.691423e-01    4.082685e-02   9.934702e-03
  3.178405e-01    3.144498e-02   8.019673e-03
  3.665387e-01    2.327706e-02   6.423037e-03
  4.152369e-01    2.005542e-02   5.599264e-03
  4.639351e-01    1.962305e-02   5.238106e-03
  5.126333e-01    1.656351e-02   4.577393e-03
  5.613315e-01    4.452854e-03   2.267702e-03
  6.100297e-01    5.110592e-03   2.330092e-03
  6.587279e-01    3.104335e-03   1.747329e-03
  7.074261e-01    7.017748e-03   2.534753e-03
  7.561243e-01    5.699682e-03   2.209305e-03
  8.048225e-01    4.930311e-03   1.991423e-03
  8.535207e-01    6.134177e-03   2.156734e-03
  9.022189e-01    5.778388e-03   2.035559e-03
  9.509171e-01    4.391028e-03   1.728187e-03
  9.996153e-01    3.231526e-03   1.445823e-03
  1.048313e+00    2.479989e-03   1.236690e-03
  1.097012e+00    4.599077e-03   1.646099e-03
  1.145710e+00    6.409741e-03   1.901295e-03
  1.194408e+00    3.870260e-03   1.446795e-03
  1.243106e+00    2.139695e-03   1.054344e-03
  1.291804e+00    3.089840e-03   1.242730e-03
  1.340503e+00    2.059822e-03   9.959230e-04
  1.389201e+00    3.273416e-03   1.233050e-03
  1.437899e+00    5.203288e-03   1.528189e-03
  1.486597e+00    3.710319e-03   1.268662e-03
  1.535295e+00    7.293015e-03   1.749995e-03
  1.583994e+00    8.429314e-03   1.851977e-03
  1.632692e+00    6.998729e-03   1.661894e-03
  1.681390e+00    4.340264e-03   1.289450e-03
  1.730088e+00    2.031125e-03   8.694571e-04
  1.778786e+00    3.586845e-03   1.139297e-03
  1.827485e+00    2.706787e-03   9.762714e-04
  1.876183e+00    2.339266e-03   8.955392e-04
  1.924881e+00    5.789402e-03   1.390628e-03
  1.973579e+00    2.964991e-03   9.826895e-04
  2.022277e+00    3.464677e-03   1.049180e-03
  2.070976e+00    4.581886e-03   1.192061e-03
  2.119674e+00    2.999954e-03   9.532554e-04
  2.168372e+00    3.600812e-03   1.032330e-03
  2.217070e+00    4.524835e-03   1.144259e-03
  2.265768e+00    3.800010e-03   1.037139e-03
  2.314467e+00    3.674180e-03   1.008829e-03
  2.363165e+00    2.045405e-03   7.446940e-04
  2.411863e+00    1.780910e-03   6.876872e-04
  2.460561e+00    3.072225e-03   8.940163e-04
  2.509259e+00    1.251188e-03   5.648457e-04
  2.557958e+00    1.695071e-03   6.510237e-04
  2.606656e+00    3.136092e-03   8.769962e-04
  2.655354e+00    8.322929e-04   4.475266e-04
  2.704052e+00    1.377424e-03   5.703772e-04
  2.752750e+00    2.031240e-03   6.863246e-04
  2.801449e+00    1.437367e-03   5.721523e-04
  2.850147e+00    1.237542e-03   5.262055e-04
  2.898845e+00    3.886131e-03   9.243813e-04
  2.947543e+00    1.323835e-03   5.349045e-04
  2.996241e+00    2.602916e-03   7.658073e-04
  3.044940e+00    1.503853e-03   6.012361e-04
  3.093638e+00    6.211040e-04   3.928416e-04
  3.142336e+00    1.764462e-03   6.702200e-04
  3.191034e+00    1.033230e-03   5.178491e-04
  3.239732e+00    2.832413e-03   8.642671e-04
  3.288431e+00    5.129459e-04   3.703377e-04
  3.337129e+00    1.353037e-03   5.996654e-04
  3.385827e+00    1.208607e-03   5.383523e-04
  3.434525e+00    1.996323e-03   6.730603e-04
  3.483223e+00    1.663629e-03   6.026979e-04
  3.531922e+00    4.348048e-04   3.033362e-04
  3.580620e+00    7.909029e-04   4.035973e-04
  3.629318e+00    1.266753e-03   5.045603e-04
  3.678016e+00    1.765594e-03   5.890051e-04
  3.726714e+00    1.642422e-03   5.621490e-04
  3.775413e+00    5.898852e-04   3.335519e-04
  3.824111e+00    9.306260e-04   4.149859e-04
  3.872809e+00    7.568955e-04   3.708866e-04
  3.921507e+00    4.450278e-04   2.818848e-04
  3.970205e+00    8.266047e-04   3.809344e-04
  4.018904e+00    1.160915e-03   4.477520e-04
  4.067602e+00    9.578877e-04   4.034788e-04
  4.116300e+00    5.890517e-04   3.139285e-04
  4.164998e+00    8.925598e-04   3.834954e-04
  4.213696e+00    9.156067e-04   3.855379e-04
  4.262395e+00    1.275021e-03   4.516359e-04
  4.311093e+00    7.905873e-04   3.530934e-04
  4.359791e+00    1.420289e-03   4.699318e-04
  4.408489e+00    7.129585e-04   3.306562e-04
  4.457187e+00    6.272395e-04   3.080440e-04
  4.505886e+00    1.602188e-03   4.890286e-04
  4.554584e+00    8.862273e-04   3.613147e-04
  4.603282e+00    4.589692e-04   2.583331e-04
  4.651980e+00    7.962389e-04   3.380829e-04
  4.700678e+00    6.092929e-04   2.938779e-04
  4.749377e+00    1.351883e-03   4.350232e-04
  4.798075e+00    1.091145e-03   3.884350e-04
  4.846773e+00    1.885119e-03   5.074497e-04
